campaign_id,campaign_type,start_date,end_date
22,Y,04/12/13,11/01/14
23,N,14/10/13,20/10/13
20,N,16/02/13,21/02/13
27,Y,16/06/13,18/06/13
26,N,11/12/13,16/12/13
23,N,29/05/13,01/06/13
25,Y,11/05/13,03/07/13
25,Y,12/11/13,14/12/13
26,N,04/11/13,19/11/13
26,N,21/11/13,29/12/13
21,Y,30/07/13,28/08/13
27,Y,04/01/13,06/02/13
22,N,28/05/13,15/06/13
21,N,30/08/13,13/09/13
29,Y,28/06/13,03/08/13
27,Y,05/10/13,11/10/13
27,N,19/06/13,17/08/13
21,N,24/12/13,08/02/14
28,N,02/01/13,07/02/13
28,Y,23/04/13,28/05/13
21,N,09/01/13,27/01/13
27,N,13/12/13,07/01/14
25,N,24/09/13,08/10/13
20,N,14/07/13,21/07/13
23,N,01/05/13,22/05/13
28,Y,26/07/13,01/09/13
20,Y,11/12/13,22/12/13
25,Y,08/07/13,09/07/13
29,Y,09/10/13,20/11/13
23,Y,27/04/13,03/06/13
22,N,17/04/13,01/06/13
21,N,10/06/13,27/06/13
21,N,26/10/13,21/11/13
20,N,13/03/13,21/04/13
28,Y,31/05/13,06/07/13
25,N,26/02/13,20/04/13
22,Y,12/08/13,18/08/13
20,N,05/03/13,16/04/13
26,N,04/08/13,07/09/13
21,N,25/03/13,09/05/13
24,Y,08/07/13,29/08/13
28,Y,03/01/13,24/02/13
22,Y,30/10/13,09/12/13
29,Y,17/01/13,21/01/13
23,N,08/03/13,08/04/13
21,N,19/10/13,16/11/13
29,N,28/03/13,06/04/13
20,Y,06/04/13,20/04/13
25,Y,16/02/13,17/02/13
24,N,13/04/13,09/05/13
27,Y,28/02/13,07/03/13
27,Y,09/06/13,04/07/13
25,Y,30/04/13,03/06/13
24,Y,28/09/13,19/11/13
20,N,11/08/13,20/08/13
24,N,30/10/13,30/11/13
21,Y,21/05/13,11/06/13
20,N,30/05/13,20/06/13
26,Y,07/11/13,23/12/13
20,N,09/08/13,27/08/13
26,Y,12/06/13,14/06/13
25,Y,18/10/13,23/11/13
24,N,10/06/13,26/07/13
24,N,14/11/13,15/11/13
28,Y,19/04/13,15/05/13
27,Y,18/12/13,24/12/13
25,N,05/02/13,26/03/13
24,Y,23/09/13,13/11/13
26,N,20/06/13,30/07/13
22,Y,16/01/13,24/02/13
26,N,06/10/13,01/12/13
28,N,23/02/13,10/04/13
26,Y,19/03/13,13/05/13
27,N,19/08/13,07/09/13
22,N,03/05/13,25/05/13
23,Y,25/01/13,06/03/13
25,Y,30/03/13,18/04/13
22,N,15/09/13,21/10/13
28,N,29/10/13,27/11/13
25,Y,03/07/13,11/07/13
23,Y,21/06/13,01/08/13
27,Y,19/11/13,02/01/14
29,Y,15/12/13,31/12/13
29,N,26/06/13,17/07/13
29,N,24/02/13,09/04/13
20,N,05/02/13,14/02/13
24,Y,09/05/13,08/06/13
21,N,27/04/13,01/06/13
23,N,20/12/13,20/01/14
24,Y,28/05/13,22/07/13
29,Y,26/07/13,13/08/13
26,Y,17/10/13,22/11/13
25,N,22/05/13,17/07/13
29,Y,21/08/13,06/09/13
29,N,07/03/13,10/04/13
23,Y,21/12/13,16/02/14
27,N,22/02/13,13/04/13
21,N,03/07/13,28/08/13
20,N,02/06/13,27/06/13
21,N,18/11/13,11/01/14
21,Y,16/01/13,23/01/13
28,N,10/01/13,17/01/13
23,Y,30/11/13,06/12/13
20,Y,16/04/13,25/05/13
20,Y,18/08/13,14/09/13
20,N,07/09/13,06/10/13
23,N,14/10/13,16/10/13
21,Y,18/07/13,30/07/13
27,N,12/06/13,30/06/13
29,N,26/12/13,01/01/14
20,N,02/07/13,23/07/13
22,Y,04/09/13,10/10/13
22,Y,17/09/13,24/09/13
