customer_id,age_range,marital_status,rented,family_size,no_of_children,income_bracket
1,56+,Married,True,4,2.0,6
2,26-35,NaN,True,3,3.0,9
3,56+,Married,True,4,2.0,8
4,18-25,Married,True,4,1.0,7
5,36-45,Single,False,4,,6
6,26-35,NaN,True,3,3.0,3
7,56+,NaN,True,6,2.0,5
8,26-35,NaN,False,3,2.0,7
9,36-45,NaN,True,6,1.0,1
10,18-25,Married,False,4,5.0,5
11,18-25,NaN,False,5,3.0,7
12,18-25,Single,False,6,2.0,3
13,18-25,NaN,True,2,1.0,6
14,18-25,NaN,False,1,4.0,8
15,56+,Single,False,2,3.0,2
16,56+,Single,True,3,4.0,1
17,56+,Married,True,5,1.0,9
18,46-55,Married,True,3,5.0,1
19,36-45,Married,True,5,5.0,7
20,56+,NaN,False,1,5.0,4
21,26-35,NaN,True,6,4.0,1
22,56+,Married,False,2,1.0,6
23,36-45,Single,False,3,,9
24,56+,Single,False,6,1.0,8
25,36-45,Single,True,3,5.0,2
26,26-35,NaN,True,1,1.0,8
27,18-25,Married,True,5,2.0,3
28,46-55,NaN,False,5,6.0,7
29,36-45,Single,True,5,,7
30,56+,NaN,True,6,1.0,9
31,56+,NaN,True,5,4.0,9
32,26-35,Married,True,1,2.0,4
33,18-25,Single,False,4,5.0,4
34,36-45,Married,False,1,1.0,4
35,56+,Single,True,1,1.0,4
36,46-55,NaN,True,2,4.0,6
37,18-25,NaN,True,6,4.0,1
38,18-25,Single,False,2,6.0,5
39,36-45,NaN,True,5,5.0,2
40,56+,Married,True,3,3.0,5
41,26-35,Married,True,6,5.0,9
42,46-55,NaN,True,5,3.0,9
43,26-35,Single,False,2,5.0,5
44,26-35,NaN,True,3,,8
45,26-35,Single,True,5,6.0,5
46,46-55,Married,True,1,5.0,1
47,56+,NaN,True,3,1.0,6
48,36-45,Married,True,1,,1
49,36-45,Married,True,6,2.0,9
50,26-35,Married,False,2,2.0,3
51,18-25,Single,False,5,3.0,8
52,36-45,NaN,False,6,6.0,5
53,56+,Single,True,5,1.0,3
54,56+,Married,False,4,3.0,2
55,56+,Single,True,5,,2
56,26-35,Single,False,1,5.0,6
57,46-55,Married,True,2,,2
58,18-25,Single,True,5,1.0,5
59,46-55,Single,True,3,1.0,4
60,26-35,Married,False,6,1.0,9
61,46-55,NaN,True,2,1.0,7
62,26-35,NaN,True,3,,2
63,26-35,Single,True,6,5.0,3
64,46-55,Married,False,1,5.0,6
65,46-55,Single,True,5,6.0,4
66,18-25,Single,True,6,4.0,8
67,46-55,Married,True,3,6.0,5
68,46-55,NaN,True,5,3.0,6
69,26-35,NaN,False,6,2.0,5
70,46-55,NaN,True,1,5.0,9
71,18-25,Married,True,1,5.0,9
72,46-55,Married,True,4,2.0,8
73,46-55,NaN,False,4,2.0,2
74,26-35,Married,True,1,4.0,6
75,56+,NaN,False,6,3.0,6
76,26-35,Married,False,5,3.0,9
77,18-25,Married,True,1,1.0,7
78,36-45,Single,False,1,2.0,3
