date,customer_id,item_id,quantity,selling_price,other_discount,coupon_discount
2023-04-03,114,24,8,717.98,5.72,44.98
2023-09-08,2590,33,2,659.86,73.51,5.15
2023-12-09,2612,11,9,275.37,26.2,16.03
2023-04-11,2649,82,4,899.3,31.23,30.95
2023-04-23,1719,45,5,943.36,10.29,19.05
2023-12-15,1108,25,3,508.92,98.38,7.55
2023-09-24,2660,96,5,294.12,49.13,9.13
2023-03-13,1736,90,6,483.13,64.05,37.89
2023-03-09,2897,31,7,902.83,36.96,30.86
2023-08-14,457,48,10,572.91,26.76,29.27
2023-01-18,1145,30,1,766.84,70.42,42.05
2023-09-01,920,56,7,342.74,80.62,6.94
2023-08-27,2691,13,10,963.26,55.27,3.09
2023-11-19,920,89,2,707.06,70.19,1.03
2023-12-28,632,61,10,20.61,28.29,15.87
2023-11-09,348,33,9,662.12,22.13,42.14
2023-07-05,392,78,9,827.46,49.85,10.83
2023-07-13,2271,61,8,156.72,32.34,48.01
2023-07-25,2598,63,2,568.82,76.33,29.68
2023-04-14,1964,15,10,624.91,51.61,40.07
2023-02-04,1183,87,6,773.5,99.08,43.08
2023-12-01,1575,61,9,359.75,42.05,36.73
2023-11-19,585,18,7,29.25,64.31,2.04
2023-10-14,834,44,5,11.56,94.44,12.96
2023-07-12,2308,96,4,326.69,81.31,49.78
2023-04-03,2260,76,6,395.55,11.83,42.52
2023-01-07,1371,10,3,730.51,60.28,36.77
2023-01-22,762,94,9,866.09,56.06,8.79
2023-09-16,318,66,9,37.46,11.81,15.95
2023-03-23,433,62,3,907.55,75.27,10.12
2023-08-07,2067,96,9,872.33,55.23,26.74
2023-11-11,473,67,2,424.3,15.84,0.57
2023-09-30,2528,59,8,860.75,42.45,44.88
2023-12-23,430,94,10,867.09,86.3,33.04
2023-04-25,119,61,5,307.11,60.78,21.58
2023-12-10,1058,29,10,37.09,72.65,26.7
2023-05-26,71,91,4,993.14,93.91,25.65
2023-04-29,2273,51,10,458.0,83.55,18.66
2023-07-11,181,54,7,556.91,6.41,30.73
2023-07-15,1009,29,7,881.06,64.83,22.05
2023-04-22,2954,89,9,587.65,19.08,27.15
2023-09-25,1871,91,2,309.04,88.81,25.52
2023-12-19,2969,37,9,355.34,3.44,12.41
2023-08-30,2311,41,2,981.62,75.41,12.46
2023-05-10,847,19,3,72.39,25.69,20.4
2023-01-02,2128,60,4,528.61,46.98,49.3
2023-03-04,1740,55,9,68.42,29.19,36.31
2023-11-14,1010,45,5,910.2,72.45,28.77
2023-02-23,1197,81,10,503.02,27.57,14.41
2023-03-25,966,69,6,171.77,66.59,15.28
2023-05-24,2653,53,4,955.73,36.31,11.82
2023-04-03,2104,69,10,387.67,74.78,0.08
2023-08-13,2559,86,10,917.73,30.51,41.61
2023-01-04,2998,84,2,669.37,78.6,36.11
2023-03-08,1141,65,8,274.41,81.2,25.4
2023-08-13,864,24,5,472.19,27.52,5.7
2023-12-13,916,65,7,608.51,55.46,47.67
2023-08-06,2637,92,2,430.14,98.18,39.18
2023-05-02,1596,59,10,54.22,84.42,28.13
2023-04-17,1449,57,8,812.21,91.34,29.34
2023-10-11,2727,38,1,356.46,73.42,24.77
2023-07-24,2726,32,6,901.37,94.41,7.76
2023-06-05,2144,47,2,545.03,18.02,29.03
2023-04-16,1767,65,2,241.82,31.74,40.21
2023-08-28,685,91,1,769.86,96.98,5.09
2023-08-06,359,26,7,694.55,4.3,25.87
2023-07-02,2141,35,1,587.29,36.14,22.9
2023-12-23,961,63,2,647.15,82.52,25.66
2023-01-09,1783,87,9,375.63,43.74,9.79
2023-08-07,2850,51,9,331.43,97.37,24.21
2023-09-12,467,16,3,940.69,66.68,18.95
2023-05-10,223,53,1,916.95,67.82,9.09
2023-06-08,2596,11,7,135.79,42.37,36.58
2023-05-19,1310,19,5,314.09,23.37,28.55
2023-01-30,1197,65,5,999.24,4.13,25.98
2023-03-03,2492,90,1,492.61,32.06,32.18
2023-02-15,2501,47,7,123.34,84.42,13.28
2023-06-18,1411,26,6,519.41,18.35,40.39
2023-04-21,1798,80,4,491.67,56.15,3.43
2023-02-17,1262,14,1,291.29,80.24,11.3
2023-05-30,2949,36,4,585.6,9.07,22.99
2023-08-16,424,69,6,172.74,77.66,34.33
2023-01-05,26,73,2,237.99,51.85,21.63
2023-02-02,1982,29,4,973.13,60.7,15.73
2023-07-13,1076,25,7,971.76,28.67,31.17
2023-05-28,1845,40,10,479.7,91.85,2.56
2023-08-28,449,58,8,669.39,18.96,41.47
2023-01-23,665,51,6,569.89,96.42,44.91
2023-10-01,2162,13,6,527.25,62.53,48.11
2023-01-08,1885,26,10,200.52,49.45,34.81
2023-02-08,844,21,6,254.9,56.07,16.19
2023-06-05,659,85,5,134.38,89.11,23.49
2023-06-26,1490,67,5,461.46,66.33,10.73
2023-04-17,1142,26,9,814.16,64.63,29.82
2023-09-03,2026,11,10,87.25,2.9,35.62
2023-09-10,557,39,7,692.33,72.06,0.54
2023-11-30,2724,33,8,116.91,52.16,43.73
2023-08-06,673,69,2,953.75,60.06,41.05
2023-03-15,1873,29,2,478.12,42.29,26.28
2023-03-12,2097,75,9,763.12,26.03,15.73
2023-05-20,121,85,10,267.0,65.13,2.55
2023-10-20,1380,94,3,960.17,57.37,1.14
2023-01-28,1129,44,6,54.33,98.56,3.06
2023-08-24,2354,75,10,332.7,37.99,47.7
2023-01-05,1440,95,10,584.84,92.03,13.03
2023-01-06,488,59,8,233.77,79.14,17.64
2023-09-20,2207,26,3,267.29,59.91,27.27
2023-03-24,2320,19,7,106.43,55.17,10.07
2023-01-18,2119,37,10,210.19,31.53,19.92
2023-01-10,2144,79,3,301.38,60.15,2.5
2023-03-02,2819,89,4,401.34,53.32,43.0
2023-08-12,2863,57,9,360.04,59.74,13.97
2023-10-06,2979,38,2,454.31,75.87,24.51
2023-12-04,271,81,3,431.56,5.09,13.41
2023-12-12,2480,44,4,110.41,33.19,16.18
2023-08-20,824,17,3,968.06,80.7,14.46
2023-09-28,822,43,9,140.89,98.47,47.93
2023-04-09,2420,46,5,373.65,56.72,4.94
2023-06-18,236,79,6,160.28,31.31,18.73
2023-04-21,664,62,9,844.25,94.69,5.74
2023-09-13,8,60,10,341.33,41.26,48.93
2023-09-04,1694,31,7,426.5,58.79,40.11
2023-09-27,2184,27,3,449.02,82.36,40.04
2023-07-25,1606,11,6,26.67,76.68,18.18
2023-12-18,2561,11,6,42.08,98.27,19.89
2023-08-10,59,73,5,647.71,97.71,24.18
2023-07-03,173,95,1,299.77,66.06,26.45
2023-03-27,643,95,10,549.66,91.83,42.69
2023-02-24,359,48,1,664.16,60.05,16.64
2023-03-03,2831,12,2,427.8,89.35,42.91
2023-01-02,2603,90,9,236.36,29.06,37.39
2023-05-31,124,47,7,39.49,47.04,14.28
2023-10-12,894,11,1,636.29,81.25,39.05
2023-05-01,1597,62,5,875.25,51.5,42.49
2023-06-04,2120,77,1,169.59,76.28,5.97
2023-10-10,1447,83,2,865.2,87.62,6.18
2023-05-30,333,86,4,864.61,0.97,44.11
2023-02-19,1390,30,9,640.17,99.64,28.31
2023-01-20,2995,21,2,718.01,51.72,1.52
2023-04-21,2939,99,7,629.31,86.75,21.16
