id,campaign_id,coupon_id,customer_id,redemption_status
1,24,647,2197,0
2,27,167,2254,0
3,20,212,2901,1
4,24,819,571,1
5,21,699,960,0
6,21,244,553,0
7,27,193,2061,1
8,24,508,2608,0
9,26,202,2309,0
10,21,259,1653,1
11,22,992,76,1
12,27,164,1244,1
13,27,318,1523,0
14,26,640,2254,1
15,21,507,68,0
16,24,587,812,1
17,20,272,2699,0
18,25,421,1374,1
19,20,545,169,0
20,25,875,2325,1
21,27,566,1309,1
22,22,256,1299,0
23,28,523,657,0
24,28,223,1848,0
25,22,426,795,1
26,27,102,2717,1
27,24,615,2249,1
28,23,111,1594,1
29,28,291,2162,1
30,29,918,1536,0
31,26,786,2714,0
32,20,662,944,1
33,21,713,855,1
34,28,928,100,1
35,20,415,2945,0
36,26,636,1313,0
37,24,113,1493,1
38,21,375,2822,1
39,25,215,639,0
40,28,816,312,1
41,28,212,657,0
42,21,138,1373,0
43,22,702,2046,0
44,29,620,609,1
45,23,630,1693,1
46,22,358,1055,0
47,29,169,2285,1
48,20,543,2710,1
49,23,675,468,1
50,29,245,267,1
51,24,908,2923,1
52,21,901,1815,0
53,24,924,1617,1
54,28,631,1009,1
55,24,308,1489,0
56,24,708,773,1
57,25,726,38,1
58,23,594,1014,1
59,24,637,2202,1
60,29,664,2643,1
61,29,948,2717,0
62,24,894,1634,0
63,21,382,2866,1
64,20,305,1205,1
65,28,490,262,0
66,27,287,2505,1
67,23,350,1141,1
68,24,117,1850,0
69,24,782,2368,0
70,20,889,6,1
71,29,224,776,1
72,29,277,1398,0
73,20,689,461,0
74,25,443,1414,1
75,28,861,2331,1
76,21,231,1806,1
77,22,191,2936,1
78,22,529,1518,0
79,25,347,1438,1
80,27,659,1634,0
81,27,810,1646,0
82,21,649,1767,1
83,28,304,1830,1
84,28,443,152,0
85,28,406,2184,1
86,27,981,2732,0
87,28,902,2709,1
88,24,472,1491,0
89,23,195,502,1
90,29,514,2456,0
91,29,827,1879,0
92,22,534,802,0
93,27,631,2822,1
94,21,443,2185,0
95,26,261,1236,1
96,29,829,542,0
97,21,822,2796,1
98,22,120,396,0
99,21,257,2675,0
100,22,949,253,0
101,29,488,906,1
102,26,330,2213,0
103,22,962,2209,1
104,22,909,219,0
105,29,619,1569,1
106,25,561,1616,0
107,23,761,1617,1
108,25,568,794,1
109,29,235,2320,1
110,28,258,668,0
111,29,800,1262,1
112,29,616,96,1
113,28,978,2503,1
114,23,722,1513,1
115,22,192,1336,0
116,20,148,339,1
117,23,916,1362,0
118,29,311,2972,0
119,28,435,1772,1
120,20,265,1891,1
121,24,189,2027,0
122,26,325,2015,1
123,25,187,2991,0
124,26,849,1687,1
125,29,721,1182,0
126,25,663,1288,1
127,20,231,2118,0
128,25,530,1647,1
129,23,916,292,0
130,26,317,1734,0
131,24,285,1681,1
132,28,515,2203,1
133,20,789,2290,0
134,26,329,1531,1
135,24,246,1230,1
136,28,817,2534,1
137,29,518,2480,0
138,25,589,1328,1
139,20,742,157,0
140,29,452,1099,1
141,25,775,2140,0
142,24,375,1124,0
143,25,371,837,1
144,21,964,1573,0
145,27,796,851,0
146,28,350,2503,1
147,29,710,2804,0
148,27,377,1365,0
149,20,903,1673,0
150,22,341,1085,0
151,24,502,855,1
152,29,891,2413,1
153,26,958,1193,0
154,24,650,1116,1
155,29,780,2011,1
156,26,537,199,1
157,28,700,1968,1
158,26,361,2571,0
159,26,102,164,0
160,25,589,188,1
161,24,300,1036,1
162,26,776,2816,0
163,25,548,2759,0
164,29,510,1887,1
165,20,522,1573,0
166,26,106,2116,0
167,27,580,254,1
168,27,704,2799,1
169,26,606,1289,0
170,20,394,2005,0
171,27,134,1204,0
172,20,614,774,0
173,21,493,420,0
174,26,411,269,1
175,26,799,835,0
176,23,158,1087,0
177,21,725,168,0
178,24,565,2559,1
179,24,167,565,0
180,24,901,2470,0
181,22,446,2268,1
182,25,274,1887,0
183,24,400,1687,0
184,27,841,1469,0
185,29,502,1014,1
186,20,450,1328,1
187,23,778,528,1
188,20,561,2442,0
189,21,735,1448,1
190,26,148,2059,0
